id,genre
1000522,Fantasy
1000523,Drama
1000523,Thriller
1000524,Crime
1000524,Mystery
1000524,Thriller
1000525,Family
1000525,Fantasy
1000525,Romance
1000525,Adventure
1000527,Fantasy
1000527,Adventure
1000527,Comedy
1000529,Animation
1000529,Thriller
1000529,Science Fiction
1000530,Fantasy
1000530,Action
1000530,Adventure
1000531,Comedy
1000531,Fantasy
1000531,Drama
1000532,Comedy
1000532,Drama
1000533,Mystery
1000533,Thriller
1000534,Family
1000534,Romance
1000534,Comedy
1000535,Action
1000535,Comedy
1000535,Fantasy
1000537,Drama
1000538,Action
1000538,Thriller
1000539,Comedy
1000539,Adventure
1000539,Family
1000539,Animation
1000540,Romance
1000540,Thriller
1000540,Crime
1000541,Drama
1000541,Horror
1000545,Comedy
1000545,Adventure
1000545,Drama
1000547,Romance
1000547,Drama
1000548,Action
1000548,Comedy
1000548,Animation
1000548,Science Fiction
1000549,Comedy
1000549,Animation
1000549,Family
1000549,Action
1000551,Music
1000551,Drama
1000552,Adventure
1000552,Science Fiction
1000552,Action
1000553,Family
1000553,Comedy
1000553,Fantasy
1000554,Animation
1000554,Family
1000555,Action
1000555,Adventure
1000556,Action
1000556,Adventure
1000558,Family
1000558,Adventure
1000558,Comedy
1000559,Family
1000559,Adventure
1000559,Comedy
1000559,Animation
1000560,Drama
1000561,Science Fiction
1000561,Action
1000562,Drama
1000563,Crime
1000563,Action
1000565,Drama
1000565,Horror
1000566,Action
1000566,Adventure
1000566,Science Fiction
1000567,Thriller
1000567,Mystery
1000567,Horror
1000568,Comedy
1000570,Drama
1000570,Romance
1000571,History
1000571,Drama
1000572,Comedy
1000572,Adventure
1000572,Fantasy
1000572,Drama
1000573,Romance
1000573,Comedy
1000575,Science Fiction
1000575,Action
1000575,Adventure
1000577,Animation
1000577,Comedy
1000577,Adventure
1000580,Drama
1000580,Crime
1000580,History
1000581,Comedy
1000581,Fantasy
1000581,Family
1000582,Drama
1000582,Comedy
1000582,Crime
1000583,Crime
1000583,Thriller
1000583,Drama
1000584,Comedy
1000584,Crime
1000585,Fantasy
1000585,Family
1000585,Comedy
1000585,Adventure
1000585,Action
1000586,Drama
1000586,Adventure
1000587,War
1000587,Drama
1000587,Science Fiction
1000590,Drama
1000591,Comedy
1000591,Fantasy
1000592,Mystery
1000592,Romance
1000592,Thriller
1000593,Horror
1000594,Horror
1000594,Science Fiction
1000594,Thriller
1000595,Adventure
1000595,Fantasy
1000595,Family
1000596,Romance
1000596,Adventure
1000596,Drama
1000596,Fantasy
1000597,Comedy
1000597,Drama
1000598,Animation
1000598,Adventure
1000598,Romance
1000598,Comedy
1000598,Fantasy
1000598,Family
1000599,Science Fiction
1000599,Animation
